,date,Name,Type 1 Departments - Major A&E,Type 2 Departments - Single Specialty,Type 3 Departments - Other A&E/Minor Injury Unit,Total attendances,Type 1 Departments - 4 hours to decision,Type 2 Departments - 4 hours to decision,Type 3 Departments - 4 hours to decision,Percentage in 4 hours or less (all),Emergency Admissions via Type 1 A&E in 4 hours,Emergency Admissions via Type 2 A&E in 4 hours,Emergency Admissions via Type 3 and 4 A&E in 4 hours,Other Emergency admissions (i.e not via A&E),Number of patients spending >12 hours from decision to admit to admission,month,year,lat,lon
0,2010-11-01,Aintree University Hospitals NHS Foundation Trust,4622.0,0.0,0.0,4622.0,7.0,0.0,0.0,2.995434599156118,1406.0,0.0,0.0,530.0,0.0,44.0,8040.0,53.461605999999996,-2.943427
1,2010-11-01,Airedale NHS Trust,3965.0,0.0,0.0,3965.0,65.0,0.0,0.0,3.934106841918542,892.0,0.0,0.0,568.0,0.0,44.0,8040.0,,
2,2010-11-01,Alder Hey Children’S NHS Foundation Trust,4541.0,0.0,0.0,4541.0,71.0,0.0,0.0,3.9379355284329565,1825.0,0.0,0.0,270.0,0.0,44.0,8040.0,50.183000000000014,-5.416000000000001
3,2010-11-01,Ashford And St Peter'S Hospitals NHS Trust,7010.0,0.0,769.0,7779.0,392.0,0.0,0.0,3.7973318126681828,1902.0,0.0,0.0,163.0,0.0,44.0,8040.0,51.655,-0.3956944399999998
4,2010-11-01,"Ashton, Leigh And Wigan Primary Care Trust",0.0,0.0,4297.0,4297.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,44.0,8040.0,51.27199999999997,0.5289999999999999
5,2010-11-01,Assura Chelmsford Llp,0.0,0.0,2090.0,2090.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,44.0,8040.0,,
6,2010-11-01,Assura Lea Valley Llp,0.0,0.0,1243.0,1243.0,0.0,0.0,1.0,3.9968553459119507,0.0,0.0,0.0,0.0,0.0,44.0,8040.0,,
7,2010-11-01,Assura Minerva Llp,0.0,0.0,2398.0,2398.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,44.0,8040.0,,
8,2010-11-01,Barking And Dagenham Primary Care Trust,0.0,0.0,2293.0,2293.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,44.0,8040.0,51.55,0.21666666999999984
9,2010-11-01,"Barking, Havering And Redbridge Hospitals NHS Trust",13477.0,584.0,0.0,14061.0,1495.0,28.0,0.0,3.5661629458988635,3993.0,14.0,0.0,274.0,0.0,44.0,8040.0,51.55,0.21666666999999984
10,2010-11-01,Barnet And Chase Farm Hospitals NHS Trust,11448.0,0.0,0.0,11448.0,259.0,0.0,0.0,3.909545839302977,2268.0,0.0,0.0,602.0,0.0,44.0,8040.0,,
11,2010-11-01,Barnet Primary Care Trust,0.0,0.0,7812.0,7812.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,44.0,8040.0,,
12,2010-11-01,Barnsley Hospital NHS Foundation Trust,5526.0,0.0,0.0,5526.0,124.0,0.0,0.0,3.910592605790656,1116.0,0.0,0.0,501.0,0.0,44.0,8040.0,53.55369999999999,-1.4790999999999999
13,2010-11-01,Barts And The London NHS Trust,9362.0,0.0,520.0,9882.0,303.0,0.0,0.0,3.877700250788594,1909.0,0.0,0.0,1093.0,0.0,44.0,8040.0,,
14,2010-11-01,Basildon And Thurrock University Hospitals NHS Foundation Trust,7711.0,0.0,0.0,7711.0,291.0,0.0,0.0,3.850075821684409,1228.0,0.0,0.0,681.0,0.0,44.0,8040.0,51.576099999999975,0.4886000000000001
15,2010-11-01,Basingstoke And North Hampshire NHS Foundation Trust,3249.0,0.0,0.0,3249.0,59.0,0.0,0.0,3.9266205339191913,851.0,0.0,0.0,745.0,0.0,44.0,8040.0,51.27999999999998,-1.1099999999999999
16,2010-11-01,Bath And North East Somerset Primary Care Trust,0.0,0.0,215.0,215.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,9.0,0.0,44.0,8040.0,,
17,2010-11-01,Bedford Hospital NHS Trust,4936.0,0.0,0.0,4936.0,81.0,0.0,0.0,3.934854814121573,1184.0,0.0,0.0,120.0,0.0,44.0,8040.0,52.128857,-0.47174300000000013
18,2010-11-01,Bedfordshire Primary Care Trust,0.0,0.0,1827.0,1827.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,44.0,8040.0,52.08333333,-0.41666667
19,2010-11-01,Berkshire East Primary Care Trust,0.0,0.0,2842.0,2842.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,44.0,8040.0,51.41666667000001,-1.0
20,2010-11-01,Berkshire West Primary Care Trust,0.0,0.0,1449.0,1449.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,44.0,8040.0,51.41666667000001,-1.0
